"parent","year","total_penalties","num_violations","num_inspections","avg_gravity","viols_per_inspection","penalty_per_inspection"
"Tesoro",2005,NULL,0,4,NULL,0.00,NULL
"Tesoro",2006,14750.00,3,9,2.00,0.33,1638.89
"Tesoro",2007,NULL,0,14,NULL,0.00,NULL
"Tesoro",2008,15950.00,4,8,2.00,0.50,1993.75
"Tesoro",2009,NULL,0,4,NULL,0.00,NULL
"Tesoro",2010,2412625.00,62,5,3.00,12.40,482525.00
"Tesoro",2011,NULL,0,1,NULL,0.00,NULL
"Tesoro",2012,NULL,0,2,NULL,0.00,NULL
"Tesoro",2013,6350.00,10,5,NULL,2.00,1270.00
"Tesoro",2014,119730.00,13,7,NULL,1.86,17104.29
"Tesoro",2015,52250.00,10,4,10.00,2.50,13062.50
